BME21L-02,Intro to Basic Lab,32354,"Hendricks,D.G.",J Baskin Engr 301B,Tu 05:20PM-08:20PM
BME22L-01,BME Molecular Biology1,32355,"Hendricks,D.G.",J Baskin Engr 301B,Th 12:00PM-03:00PM
BME22L-02,BME Molecular Biology1,32356,"Hendricks,D.G.",J Baskin Engr 301B,Th 03:20PM-06:20PM
BME22L-03,BME Molecular Biology1,32357,"Hendricks,D.G.",J Baskin Engr 301B,F 11:30AM-02:30PM
BME80H-01,The Human Genome,31230,"Green,R.E.",,TBD
BME110-01,Comp Bio Tools,31231,"Kim,D.",PhysSciences 110,TuTh 01:30PM-03:05PM
BME122H-01,Env Virology,31312,"Bernick,D.L.",J Baskin Engr 372,TuTh 09:50AM-11:25AM
BME123T-01,Sr Thesis Writ,31557,"Hendricks,D.G.",Soc Sci 1 145,MW 05:20PM-06:55PM
BME128-01,Protein Engineering,31560,"Dubois,R.M.",PhysSciences 140,MWF 02:40PM-03:45PM
BME129B-01,Design/Implement BME,31561,"Corbett-Detig,R.",J Baskin Engr 156,TuTh 05:20PM-06:55PM
BME160-01,ResBioProgramming,31232,"Bernick,D.L.",Sci & Engr Library 206,MWF 04:00PM-05:05PM
BME175-01,Entrepren in Biotech,31233,"Green,R.E.",PhysSciences 114,MWF 09:20AM-10:25AM
BME177-01,Engr Stem Cells,31565,"Shariati,A.",PhysSciences 140,TuTh 03:20PM-04:55PM
BME177L-01,Eng Stem Cell Lab,45167,"Staff",,Cancelled Cancelled
BME180-01,Prof Practice BENG,31566,"Bernick,D.L.",PhysSciences 305,MW 05:20PM-06:55PM
BME201-01,Scientific Writing,31593,"Stuart,J.M.",PhysSciences 305,TuTh 01:30PM-03:05PM
BME230A-01,Intro Comp Genomics,31608,"Paten,B.J.",,TBD
BME275-01,Entrepren in Biotech,31234,"Green,R.E.",PhysSciences 114,MWF 09:20AM-10:25AM
BME278-01,Stem Cell Biology,31236,"Forsberg,C.E.",J Baskin Engr 156,TuTh 09:50AM-11:25AM
BME280B-01,Bioinform/Bioeng Sem,31609,"Miga,K.H.",BiomedSci 200,Th 11:40AM-01:15PM
BME281D-01,Protein Engineering,32374,"Dubois,R.M.",TBD In Person,TBD
BME281E-01,Seminar in Genomics,32375,"Green,R.E.",TBD In Person,TBD
BME281F-01,Blood Cell Dev,32376,"Forsberg,C.E.",TBD In Person,TBD
BME281H-01,Sem Compar Genomics,32377,"Haussler,D.",TBD In Person,TBD
BME281J-01,Seminar in Genomics,32378,"Paten,B.J.",TBD In Person,TBD
BME281L-01,Sem Comput Genetics,32379,"Lowe,T.M.",TBD In Person,TBD
BME281N-01,Transcriptomics,32380,"Brooks,A.",TBD In Person,TBD
BME281P-01,Nanotech/Biosensors,32381,"Pourmand,N.",TBD In Person,TBD
BME281R-01,Stem Cell Genomics,32382,"Kim,D.",TBD In Person,TBD
BME281S-01,Sem Comput Genomics,32383,"Stuart,J.M.",TBD In Person,TBD
BME281V-01,Immunogenomics,45249,"Vollmers,C.",TBD In Person,TBD
BME281Z-01,Sem Pop/Evol Genom,32384,"Corbett-Detig,R.",TBD In Person,TBD
CHEM1A-01,General Chemistry,31515,"Kerstiens,G.",ClassroomUnit 002,MWF 12:00PM-01:05PM
CHEM1B-01,General Chemistry,31516,"Kerstiens,G.",ClassroomUnit 002,MWF 01:20PM-02:25PM
CHEM1C-01,General Chemistry,31517,"Eroy-Reveles,A.A.",Humn Lecture Hall,MWF 12:00PM-01:05PM
CHEM1M-01,Gen Chem Lab,31518,"Roland,R.E.",,TBD
CHEM1N-01,Gen Chem Lab,31519,"Roland,R.E.",,TBD
CHEM4B-01,Advanced Gen Chem,31520,"Benjamin,I.",PhysSciences 130,MWF 01:20PM-02:25PM
CHEM8A-01,Organic Chemistry,31521,"Lokey,R.S.",Earth&Marine B206,TuTh 08:00AM-09:35AM
CHEM8B-01,Organic Chemistry,31522,"Artun,B.",Media Theater M110,TuTh 09:50AM-11:25AM
CHEM8L-01,Organic Chem Lab,31523,"Binder,C.M.",Thim Lecture 003,F 01:20PM-02:25PM
CHEM8M-01,Organic Chem Lab,31524,"Binder,C.M.",Thim Lecture 003,F 02:40PM-03:45PM
CHEM124-01,BioanalyticalChemistry,31525,"Sanchez,L.M.",Soc Sci 2 363,MWF 09:20AM-10:25AM
CHEM151A-01,Chemistry of Metals,31526,"Johnstone,T.C.",PhysSciences 114,MWF 12:00PM-01:05PM
CHEM151L-01,Inorganic Lab,31527,"Johnstone,T.C.",PhysSciences 114,F 01:20PM-02:25PM
CHEM156C-01,Mat Chem,45461,"Oliver,S.R.",Earth&Marine B214,TuTh 09:50AM-11:25AM
CHEM160K-01,Biochem Research Lab,31530,"Rubin,S.M.",PhysSciences 341,TuTh 11:40AM-01:15PM
CHEM163B-01,Chem Thermodynamics,31528,"Chen,S.",PhysSciences 114,MWF 10:40AM-11:45AM
CHEM164-01,Physical Chem Lab,31529,"Li,Y.",PhysSciences 114,F 02:40PM-03:45PM
CHEM200B-01,Adv Macro Structr,31993,"Loerch,S.",Porter Acad 249,TuTh 09:50AM-11:25AM
CHEM230-01,Grant Writing,45381,"Sanchez,L.M.",BiomedSci 200,F 01:00PM-04:30PM
CHEM242C-01,Spctroscpy Analytics,31996,"MacMillan,J.",Oakes Acad 101,TuTh 11:40AM-01:15PM
CHEM256C-01,Adv Inorganic Chem,31997,"Oliver,S.R.",Earth&Marine B214,TuTh 09:50AM-11:25AM
CHEM262-01,Statistic Mechanics,31999,"Benjamin,I.",Thimann Lab 101,MWF 09:20AM-10:25AM
CHEM274-01,Prosem Synth/Polymr,32007,"Braslau,R.",,TBD
CHEM275-01,Bio Inorganic Chem,32010,"Holman,T.R.",,TBD
CHEM280-01,Materials Chem,32011,"Oliver,S.R.",,TBD
CHEM291-01,Chemistry Seminar,32000,"Wang,X.",PhysSciences 240,M 04:00PM-05:00PM
CHIN2-01,Chinese: First Year,30784,"Tu,E.",Hum & Soc Sci 250,MWF 08:00AM-09:05AM
CHIN2-02,Chinese: First Year,30783,"Tu,E.",Hum & Soc Sci 250,MWF 09:20AM-10:25AM
CHIN5-01,Chinese: Second Year,30232,"Wu,T.",Merrill Acad 132,MWF 08:00AM-09:05AM
CHIN107-01,Chinese: Classical Prose,30231,"Wu,T.",Merrill Acad 132,MWF 09:20AM-10:25AM
CLNI85-01,Global Action,31182,"Ramsden,E.S.",Soc Sci 1 110,W 07:10PM-08:45PM
CLNI85-02,Global Action,32591,"Ramsden,E.S.",Soc Sci 1 110,W 07:10PM-08:45PM
